Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link_1,0.00261306737105332,0.00176360082278715,0.0246576821934029,0,0,0,0.102051350617011,4.53483179209199E-05,-1.66441238128771E-06,9.96133751046813E-09,4.67454236866282E-05,6.7230613232731E-09,8.40832800892524E-05,0,0,0,0,0,0,package://hamada6/meshes/link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hamada6/meshes/link_1.STL,,Link1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_2,-0.0054198177814474,-0.00713565163368579,0.0372570958666508,0,0,0,0.107656182888474,2.98005643749831E-05,4.51259577194389E-06,-2.02176559086076E-14,3.12790794980954E-05,2.38545882667911E-14,5.28046334626354E-05,0,0,0,0,0,0,package://hamada6/meshes/link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hamada6/meshes/link_2.STL,,Link2-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0,0,0.0296901731651757,0,0,0.719700911690755,link_1,0,0,-1,0,0,0,3.14,,,,,,,,
link_3,0.0423163334235897,-0.0523998100003235,-0.00879999999999903,0,0,0,0.0370879421944392,4.31107402199934E-05,3.33899547200555E-05,3.14196283872142E-20,2.91474022387834E-05,-2.68668262957223E-20,7.21036093662999E-05,0,0,0,0,0,0,package://hamada6/meshes/link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hamada6/meshes/link_3.STL,,Link3-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,-0.00740908206591206,0.00626063119346032,0.0425098268348305,1.5707963267949,-0.889725104086476,-0.701580737022399,link_2,0,0,1,0,0,0,3.14,,,,,,,,
link_4,-0.0611115173353387,-0.0527057739927693,-0.00582377662014677,0,0,0,0.101885412050416,6.23695794257442E-05,-5.77752543988617E-05,1.04470290857267E-16,7.9908667477527E-05,6.56679762413433E-16,0.000126683229232314,0,0,0,0,0,0,package://hamada6/meshes/link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hamada6/meshes/link_4.STL,,Link4-1,Origin_joint_3,Axis_joint_3,joint_3,revolute,0.085131998178969,-0.104773770028839,0,0,0,-0.0517082154976768,link_3,0,0,1,0,0,0,3.14,,,,,,,,
link_5,-0.0129199786418717,-0.0351360790165315,-0.00789373945016625,0,0,0,0.0188771162900397,4.36784009094124E-06,-3.42805424787844E-07,7.16150885936188E-09,2.9410068773853E-06,4.32546241726917E-08,1.94038512846246E-06,0,0,0,0,0,0,package://hamada6/meshes/link_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hamada6/meshes/link_5.STL,,Link5-1,Origin_joint_4,Axis_joint_4,joint_4,revolute,-0.12211,-0.10555,0,0,0,0.88441,link_4,0,0,1,0,0,-3.14,0,,,,,,,,
link_6,1.04083408558608E-17,1.11022302462516E-16,0.0157337325896775,0,0,0,0.0108008005786752,1.55920828038824E-06,3.93737971575241E-22,2.60019055677216E-22,3.21670063590669E-06,4.63221143029695E-23,1.82515770809202E-06,0,0,0,0,0,0,package://hamada6/meshes/link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hamada6/meshes/link_6.STL,,Link6-2,Origin_joint_5,Axis_joint_5,joint_5,revolute,-0.0194964326657436,-0.0595960887898847,0.00350000000000272,1.57079632679489,-0.0137910447247329,-0.164077877210891,link_5,0,0,-1,0,0,0,3.14,,,,,,,,
